% Model:              
% Version:            COMSOL 4.4.0.248
% Date:               Dec 8 2014, 21:41
% Dimension:          2
% Nodes:              6582
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Vorticity field, z component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  spf.vorticityz (1/s)
-2.0337455322229436       -0.9941745652818396      -1.988349130563634       -6.410448078431326E-16   -2.0000000000076747
-2.0078384148959554       -0.9941816553217508      -1.9883633106434515      -6.586253595448481E-16   -2.0000000000085842
-2.0691803907962645       -0.9756527888971452      -1.9513055777941326      -9.736893019956967E-15   -2.000000000006482
-2.266461673578057        0.9941127076707664       1.9882254153415262       -2.65292435669331E-16    -2.0000000000011897
-2.240501863275859        0.9940982373097547       1.9881964746194998       -3.143931189223954E-16   -2.000000000001525
-2.2145420529736617       0.994092296488967        1.9881845929779225       -3.1021122651898638E-16  -2.000000000001985
-1.956024180241979        -1                       -2                       1.893560774827654E-31    -2.000000000010516
-1.9301170629149913       -1                       -2                       3.115712965946565E-31    -2.0000000000114824
-2.1885822426714636       0.9940861172410201       1.9881722344820256       -3.632441919701466E-16   -2.0000000000024314
-2.414269864654563        0.9371565102664395       1.8743130205328733       -4.675424282934023E-15   -2.000000000000482
-2.5                      0.9082972402898115       1.816594480579623        0                        -2.000000000000043
-2.4431885258783046       0.915238429719108        1.8304768594382121       -3.823884514101477E-15   -2.0000000000001625
-2.4698063721934087       0.9015370691129401       1.803074138225879        -1.2975822205468325E-15  -2.0000000000001386
-2.3740295946892482       0.9609937018669288       1.92198740373385         -3.985081822934201E-15   -2.000000000000534
-2.382072776847271        0.9396000140470513       1.8792000280940895       -8.821961416761164E-15   -2.000000000000662
-2.292421483880254        0.9871298931054817       1.974259786210953        -1.00393562156811E-15    -2.000000000000933
-2.1366626220670684       1                        1.9999999999999998       -1.6675523709309692E-31  -2.0000000000035527
-2.266461673578057        0.9870479568756861       1.9740959137513574       -1.1946661765260692E-15  -2.0000000000010014
-2.1107028117648703       1                        2                        -4.056003972845829E-30   -2.000000000004162
-2.3353230208604034       0.9765308611548953       1.953061722309781        -2.3794870414112837E-15  -2.0000000000006897
-2.350741522577316        0.9604796973124992       1.9209593946249846       -5.674801696929321E-15   -2.0000000000005485
-2.308959749801219        0.9763954084320592       1.9527908168641028       -2.9928854620607224E-15  -2.000000000000882
-2.2071465832314647       -0.9302523380972063      -1.860504676194216       -5.384137159187461E-14   -2.0000000000029496
-2.2871666567731057       -0.9130762572705796      -1.8261525145410376      -5.884879761159825E-14   -2.000000000001884
-2.3139034619500602       -0.8996100974397981      -1.7992201948794888      -6.578578889179869E-14   -2.000000000001821
-2.234514223399546        -0.9103237810198045      -1.8206475620394014      -7.999657875271441E-14   -2.000000000002628
-2.2619552983682762       -0.8972699517196898      -1.794539903439189       -9.27017223529077E-14    -2.000000000002382
-2.3447722183167725       -0.8744469852383184      -1.7488939704765396      -8.134805686456662E-14   -2.0000000000020806
-2.5                      -0.7621514766971234      -1.5243029533942467      0                        -2.00000000000132
-2.3685243101556814       -0.8514470586925472      -1.7028941173850085      -9.245132291768289E-14   -2.0000000000021543
-2.3968427851925918       -0.826155568616457       -1.652311137232849       -9.435195308077053E-14   -2.0000000000018074
-2.4634669996809038       -0.7795120681196201      -1.5590241362392285      -4.835078468029222E-14   -2.0000000000012776
-2.4301762276674492       -0.8038855899131117      -1.6077711798261876      -7.692854926618671E-14   -2.0000000000012776
-2.1760518400946025       -0.9328266691801077      -1.8656533383599792      -5.5617018802046035E-14  -2.00000000000412
-2.1376542385208133       -0.957390725579641       -1.9147814511590917      -2.5476321994677683E-14  -2.0000000000042406
-2.1497504620491235       -0.9333798255600259      -1.8667596511197746      -5.856257723285922E-14   -2.0000000000042406
-2.1112234459199937       -0.9589719460537819      -1.9179438921073506      -2.490598777052967E-14   -2.000000000004838
-2.083477087995497        -0.9587213045907481      -1.917442609181248       -2.6283686524827663E-14  -2.000000000006284
-1.9819312975689671       -0.994180851463583       -1.9883617029271101      -6.485402733032596E-16   -2.0000000000094924
-1.956024180241979        -0.9941710139894449      -1.9883420279788284      -6.786888735153276E-16   -2.00000000001046
-2.0337455322229436       -0.9871840436200471      -1.9743680872399956      -2.9417586916126606E-15  -2.0000000000072227
-2.0457753805413326       -0.9735658468182468      -1.9471316936363021      -1.168432729099881E-14   -2.000000000006625
-2.0078384148959554       -0.9871996417078519      -1.974399283415594       -3.024601937790635E-15   -2.000000000008469
-1.9819312975689671       -0.9871978732198827      -1.9743957464396433      -3.0865282933730943E-15  -2.0000000000093485
-2.0600625814713958       -0.9587433445995986      -1.9174866891989195      -2.763792498782055E-14   -2.000000000006284
-2.240501863275859        0.9870161220814602       1.9740322441629006       -1.3817138583586552E-15  -2.000000000001659
-2.2145420529736617       0.9870030522757275       1.9740061045514294       -1.5215876060340882E-15  -2.0000000000020273
-2.1885822426714636       0.9869894579302443       1.9739789158604566       -1.7379164415168678E-15  -2.000000000002168
-2.1626224323692664       0.9940777146339378       1.9881554292678578       -4.13878006242227E-16    -2.0000000000028977
-2.1626224323692664       0.9869709721946631       1.9739419443892876       -1.7410221662115316E-15  -2.000000000002961
-2.1366626220670684       0.9940669477132441       1.9881338954264671       -3.400749151008348E-16   -2.0000000000035487
-2.5                      0.8648193715672956       1.7296387431345912       0                        -2.0000000000004663
-2.3913493750465067       0.9152154329790266       1.8304308659580346       -1.5771484448664504E-14  -2.000000000000662
-2.4128523394431056       0.9009006497191515       1.8018012994382888       -1.4999781733838347E-14  -2.00000000000044
-2.467611878828693        0.871053143333306        1.7421062866666095       -5.6148332640949335E-15  -2.000000000000614
-1.904209945588003        -1                       -2                       1.392144557781306E-31    -2.0000000000126192
-2.4366626242570075       0.8808068731602265       1.7616137463204433       -1.3868118572025823E-14  -2.0000000000003584
-2.356898003264134        0.9381145359256705       1.8762290718513182       -1.2656046139620825E-14  -2.0000000000005946
-2.36948634961241         0.9148216788608415       1.8296433577216538       -2.154014344784297E-14   -2.000000000000662
-2.2834136749953617       0.975912562738163        1.9518251254763028       -3.704283814794103E-15   -2.0000000000009304
-2.2572870814021235       0.9757125312680411       1.9514250625360505       -4.28618593768355E-15    -2.0000000000016147
-2.322206845107278        0.9602788587372725       1.9205577174745216       -7.514586575439441E-15   -2.0000000000009654
-2.335820934868469        0.9372438822564232       1.8744877645128126       -1.634393926122146E-14   -2.0000000000009432
-2.2974442738261467       0.9591161447005748       1.9182322894011152       -9.513870677395322E-15   -2.0000000000009654
-2.1869920058685457       -0.9042001191909462      -1.8084002383815758      -1.0612700953647149E-13  -2.0000000000038964
-2.2127037647757946       -0.8954758851646298      -1.7909517703289695      -1.1567311124628604E-13  -2.0000000000033538
-2.084743001462673        1                        2                        2.8057628289062085E-30   -2.000000000004718
-2.058783191160475        1                        2                        2.9921408517061968E-30   -2.0000000000052296
-2.5                      -0.7121223382195584      -1.4242446764391168      0                        -2.000000000003297
-2.289631694683432        -0.880468952657935       -1.7609379053156957      -1.0769783690532263E-13  -2.000000000002234
-2.313058526112674        -0.866911086319396       -1.7338221726386374      -1.1553485531810704E-13  -2.0000000000024234
-2.2416378728846627       -0.8792267199027841      -1.7584534398052973      -1.375016517879849E-13   -2.0000000000028377
-2.267391332135128        -0.8681198725766931      -1.736239745153146       -1.4588160755956933E-13  -2.000000000002283
-2.33469664106957         -0.8426819905732129      -1.685363981146279       -1.395760864698988E-13   -2.0000000000022244
-2.4617899902571274       -0.7354630262834343      -1.4709260525668533      -8.342743619186597E-14   -2.0000000000028195
-2.3564824806748934       -0.8127133828244197      -1.6254267656487031      -1.6826600359152927E-13  -2.0000000000018074
-2.390247415308277        -0.7858762771468146      -1.5717525542935344      -1.6299903582321686E-13  -2.0000000000018074
-2.4243035248878204       -0.759285314024642       -1.518570628049231       -1.3944552073583128E-13  -2.000000000001989
-2.5000000000000004       -0.6615648148048797      -1.3231296296097594      0                        -2.000000000003297
-2.1611121289139446       -0.9051185873612279      -1.8102371747220867      -1.1137394103616344E-13  -2.0000000000040608
-2.170686322812407        -0.8848491211388532      -1.7696982422772851      -1.571936476688911E-13   -2.000000000003883
-2.1262183053249077       -0.9370632216824168      -1.874126443364533       -5.4886184510067836E-14  -2.0000000000045337
-2.138765743931555        -0.9083678932493178      -1.8167357864982294      -1.0956473431217629E-13  -2.000000000004572
-2.1014864681482432       -0.9361849455857721      -1.8723698911711961      -5.925532765796074E-14   -2.0000000000060107
-2.069780654327768        -0.9362379588109774      -1.872475917621549       -6.321274223503706E-14   -2.000000000006284
-1.9301170629149913       -0.9941607375088252      -1.9883214750175833      -7.295874096670229E-16   -2.0000000000113705
-1.956024180241979        -0.9871762307767787      -1.974352461553423       -3.1370023220474655E-15  -2.0000000000096647
-1.9301170629149913       -0.9871536225194154      -1.9743072450386836      -3.292955487640882E-15   -2.0000000000113123
-2.0205701862374545       -0.9735683954528539      -1.947136790905494       -1.2224190537315264E-14  -2.0000000000083302
-2.0314409429700038       -0.9590780760724797      -1.918156152144646       -2.822158933898501E-14   -2.0000000000070592
-1.9973047674270727       -0.9744525617174388      -1.9489051234346504      -1.1605831366208979E-14  -2.000000000008678
-1.9729855292696241       -0.9756818829711894      -1.9513637659421412      -1.10613661112521E-14    -2.0000000000091873
-2.0430460659841096       -0.9371532117063621      -1.8743064234122724      -6.30733656050139E-14    -2.0000000000065654
-2.230334267371721        0.9754711983507997       1.950942396701557        -5.022902063279744E-15   -2.000000000001856
-2.2053594472494296       0.9758649436663527       1.9517298873326536       -5.300190262901554E-15   -2.0000000000020237
-2.179658823028664        0.9758559085922286       1.9517118171843937       -5.7243899305978965E-15  -2.0000000000028892
-2.1107028117648703       0.9940587453939117       1.9881174907877994       -4.799180076152875E-16   -2.000000000004082
-2.084743001462673        0.9940603627588966       1.988120725517765        -4.379186984434049E-16   -2.0000000000045492
-2.1366626220670684       0.9869472849691371       1.9738945699382284       -1.8028694165625324E-15  -2.0000000000034985
-2.1525670775322276       0.9750420491557762       1.9500840983114738       -6.364871205525725E-15   -2.0000000000031366
-2.1107028117648703       0.9869292398666057       1.973858479733158        -2.0239102498964823E-15  -2.000000000003703
-2.5                      0.8213415028447797       1.6426830056895594       0                        -2.000000000000598
-2.465474840837414        0.8302602855774861       1.660520571154967        -1.6105734321951735E-14  -2.000000000000933
-2.3774094993631705       0.8876692801734435       1.7753385603468501       -3.504286338638277E-14   -2.0000000000006657
-2.402357048415194        0.8662432497553014       1.7324864995105738       -3.6625010734239955E-14  -2.0000000000009153
-2.433103657753618        0.8422483752850686       1.6844967505701203       -3.1576141938613E-14     -2.0000000000008615
-2.345622222981694        0.9040934481597117       1.8081868963193732       -3.510868267085411E-14   -2.0000000000009233
-2.270394774281271        0.9589869377413495       1.9179738754826507       -1.1252607586484749E-14  -2.000000000001269
-2.24328993327421         0.9585098122353682       1.9170196244706719       -1.3067037730034617E-14  -2.000000000001995
-2.3064376865638745       0.9368051764344715       1.8736103528688919       -2.0883583982107003E-14  -2.0000000000009654
-2.318180013992937        0.9106900173239793       1.8213800346478914       -3.8434423822502786E-14  -2.0000000000010103
-2.280341113874123        0.935116976278468        1.870233952556864        -2.6083884016562197E-14  -2.0000000000012066
-2.191919848081503        -0.87394547563419        -1.7478909512679766      -1.754453083477847E-13   -2.000000000003686
-2.219919163373016        -0.8592701408310333      -1.7185402816616933      -1.9802385607769463E-13  -2.000000000003253
-2.457927581070934        -0.6859324254846246      -1.371864850969228       -1.3866249364112052E-13  -2.000000000003297
-2.288518457387629        -0.8431340302892035      -1.6862680605781681      -1.830490416015568E-13   -2.0000000000022244
